,totals_timeOnSite,hits_time
10,64,63580
11,64,63586
15,514,514197
16,514,514197
17,514,514197
18,514,514199
19,514,514199
20,514,514199
22,382,168861
23,382,381853
24,382,381863
28,174,149996
29,174,149996
30,174,149996
31,174,173548
32,174,173548
33,174,173548
34,174,173549
35,174,173549
36,174,173549
38,96,57765
39,96,96451
40,96,96480
42,77,64457
43,77,76931
44,77,76939
46,36,2
47,36,35861
48,36,35871
51,56,33994
52,56,33994
53,56,56351
54,56,56351
55,56,56460
56,56,56460
59,34,17316
60,34,17316
61,34,17316
62,34,17316
63,34,17316
64,34,17316
65,34,17316
66,34,17316
67,34,17316
68,34,17316
69,34,17316
70,34,17316
71,34,33974
72,34,33974
73,34,33978
74,34,33978
78,56,55993
79,56,55993
80,56,55993
81,56,55993
82,56,55994
83,56,55994
84,56,55994
85,56,55994
88,204,90241
89,204,90241
90,204,166877
91,204,166877
92,204,203730
93,204,203730
94,204,203734
95,204,203734
97,276,28752
98,276,244075
99,276,276176
100,276,276205
104,249,23298
105,249,23298
106,249,23298
107,249,197638
108,249,197638
109,249,197638
110,249,248777
111,249,248777
112,249,248777
113,249,248787
114,249,248787
115,249,248787
117,137,28161
118,137,28161
119,137,28161
120,137,28161
121,137,28161
122,137,28161
123,137,28161
124,137,28163
125,137,28163
126,137,28163
127,137,28163
128,137,28163
129,137,28163
130,137,28163
134,189,72717
135,189,167994
136,189,188524
137,189,188524
144,151,36866
145,151,36866
146,151,36866
147,151,36866
148,151,36866
149,151,36866
150,151,111433
151,151,111433
152,151,111433
153,151,111433
154,151,111433
155,151,111433
156,151,151212
157,151,151212
158,151,151212
159,151,151212
160,151,151212
161,151,151212
162,151,151214
163,151,151214
164,151,151214
165,151,151214
166,151,151214
167,151,151214
169,305,151474
170,305,279637
171,305,304520
172,305,304522
175,172,91603
176,172,91603
177,172,91603
178,172,91603
179,172,91603
180,172,91603
181,172,141898
182,172,141898
183,172,141898
184,172,141898
185,172,141898
186,172,141898
187,172,172394
188,172,172394
189,172,172394
190,172,172394
191,172,172394
192,172,172394
193,172,172395
194,172,172395
195,172,172395
196,172,172395
197,172,172395
198,172,172395
201,113,40301
202,113,40301
203,113,68798
204,113,68798
205,113,68829
206,113,68829
207,113,84448
208,113,84448
209,113,84448
210,113,84448
211,113,84448
212,113,84448
213,113,84448
214,113,84448
215,113,84448
216,113,84448
217,113,84448
218,113,84448
219,113,112892
220,113,112892
221,113,112892
222,113,112892
223,113,112892
224,113,112892
225,113,112892
226,113,112892
227,113,112892
228,113,112892
229,113,112892
230,113,112892
233,97,17539
234,97,38025
235,97,97293
236,97,97329
240,284,22902
241,284,22902
242,284,22902
243,284,39087
244,284,39087
245,284,39087
246,284,264877
247,284,264877
248,284,264877
249,284,283964
250,284,283964
251,284,283964
252,284,283966
253,284,283966
254,284,283966
256,212,27093
257,212,80712
258,212,141590
259,212,179712
260,212,211592
261,212,211592
268,293,96250
269,293,96250
270,293,96250
271,293,96250
272,293,96250
273,293,146443
274,293,146443
275,293,146443
276,293,146443
277,293,146443
278,293,265587
279,293,265587
280,293,265587
281,293,265587
282,293,265587
283,293,293407
284,293,293407
285,293,293407
286,293,293407
287,293,293407
288,293,293479
289,293,293479
290,293,293479
291,293,293479
292,293,293479
294,307,152555
295,307,152555
296,307,152555
297,307,215190
298,307,215190
299,307,215190
300,307,283343
301,307,283343
302,307,283343
303,307,283343
304,307,283343
305,307,283343
309,97,9236
310,97,9236
311,97,9236
312,97,27514
313,97,27514
314,97,27514
315,97,58158
316,97,58158
317,97,58158
318,97,84951
319,97,84951
320,97,84951
321,97,84957
322,97,84957
323,97,84957
324,97,97005
325,97,97005
326,97,97005
327,97,97005
328,97,97005
329,97,97005
330,97,97005
331,97,97005
332,97,97005
333,97,97005
334,97,97005
